UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
SC;Guaramirim;SC0004740;Ativo;**.***.134/***-**;AGROCOMERCIAL SANDRI LTDA;SANDRI;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Corupá;SC0011754;Ativo;**.***.134/***-**;AGROCOMERCIAL SANDRI LTDA;*****;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Pedra Preta;MT0004901;Ativo;**.***.072/***-**;NUTRIFOLIAR INDUSTRIA E COMERCIO DE DEFENSIVOS AGRICOLAS LTDA - ME;NUTRIFOLIAR;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Piracaia;SP0045853;Ativo;**.***.993/***-**;BALLAGRO AGRO TECNOLOGIA LTDA;Ballagro;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;BIOFERTILIZANTE
SP;Piracaia;SP0045853;Ativo;**.***.993/***-**;BALLAGRO AGRO TECNOLOGIA LTDA;Ballagro;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;INOCULANTE
SE;Tobias Barreto;SE0003352;Ativo;**.***.707/***-**;COMERCIAL E FERRAMENTAS GERALDO OLIVEIRA LTDA ME;COMERCIAL E FERRAMENTAS GERALDO OLIVEIRA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Natividade;TO0005215;Ativo;**.***.638/***-**;NATICAL NATIVIDADE CALCARIO LTDA;Natical;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
ES;Itaóca;ES0008176;Ativo;**.***.002/***-**;INCAL INDUSTRIA NACIONAL DE CALCARIOS LTDA;INCAL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
MT;Cuiabá;MT0000450;Ativo;**.***.261/***-**;STOLLER DO BRASIL LTDA;STOLLER;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Araxá;MG0016500;Ativo;**.***.655/***-**;SATIS INDÚSTRIA E COMÉRCIO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
ES;Santa Maria de Jetibá;ES0001554;Ativo;**.***.085/***-**;COOPERATIVA AGROPECUÁRIA CENTRO SERRANA;COOPEAVI ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Domingos Martins;ES0001473;Ativo;**.***.085/***-**;COOPERATIVA AGROPECUÁRIA CENTRO SERRANA;COOPEAVI ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Itarana;ES0001520;Ativo;**.***.085/***-**;COOPERATIVA AGROPECUÁRIA CENTRO SERRANA;COOPEAVI ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Baixo Guandu;ES0001449;Ativo;**.***.085/***-**;COOPERATIVA AGROPECUÁRIA CENTRO SERRANA;COOPEAVI ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Teixeira de Freitas;BA0007030;Ativo;**.***.448/***-**;RM COMERCIO E REPRESENTACAO DE PRODUTOS AGRICOLAS LTDA;AGRITEC;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Caçapava do Sul;RS0030112;Ativo;**.***.831/***-**;IRMÃOS CIOCCARI & CIA LTDA;FIDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SC;Chapecó;SC0009890;Ativo;**.***.290/***-**;SANDRI AGROINSUMOS AGROPECUARIOS LTDA;SANDRI AGROINSUMOS AGROPECUÁRIOS LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Feira de Santana;BA0003085;Ativo;**.***.806/***-**;CONFINAR PRFOD AGROPECUARIOS LTDA;CONFINAR;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Nova Itaberaba;SC0001872;Ativo;**.***.235/***-**;COOPERATIVA AGROINDUSTRIAL ALFA;Cooperalfa;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Barretos;SP0049786;Ativo;**.***.809/***-**;EMBRAFÓS INDÚSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;EMBRAFOS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RS;Nova Prata;RS0002330;Ativo;**.***.787/***-**;PRODUSOLO COMERCIAL AGRÍCOLA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MG;Unaí;MG0011487;Ativo;**.***.592/***-**;UNICAL UNAI INDUSTRIA E COMERCIO DE CALCARIO E BRITA LTDA - EPP;UNICAL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SP;Itápolis;SP0013099;Ativo;**.***.791/***-**;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS;COOPERCITRUS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Belo Horizonte;MG0007137;Ativo;**.***.731/***-**;MINAS RURAL AGRO NEGÓCIOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Sertãozinho;SP0036501;Ativo;**.***.027/***-**;SERQUIMICA IND. COM. IMP. E EXP. DE PROD. QUIMICOS;SERQUIMICA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
ES;Itaóca;ES0007641;Ativo;**.***.660/***-**;CARBOMIX MINERAIS LTDA;CARBOMIX;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SC;Chapecó;SC0001716;Ativo;**.***.235/***-**;COOPERATIVA AGROINDUSTRIAL ALFA;Cooperalfa;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Mogi Guaçu;SP0030503;Ativo;**.***.946/***-**;SOLO SAGRADO AGRONEGÓCIOS LTDA;SOLO SAGRADO;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
SP;Estiva Gerbi;SP0033162;Ativo;**.***.627/***-**;MCJ AGROCOMPANY LTDA;BIOVITTA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
CE;Barbalha;CE0004782;Ativo;**.***.110/***-**;TEMA AGRICULTURA COMERCIO E SERVICOS LTDA;TEMA AGRICULTURA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PE;Trindade;PE0004111;Ativo;**.***.190/***-**;MINERADORA SAO JORGE S A;mineradora sao jorge sa;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
SP;Santo André;SP0023272;Ativo;**.***.915/***-**;CARREFOUR COMERCIO E INDUSTRIA LTDA;STA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Nova Resende;MG0006211;Ativo;**.***.566/***-**;COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA COOXUPE;Cooxupe;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Canguçu;RS0018201;Ativo;**.***.476/***-**;AGRO MULLER PRODUTOS AGRICOLAS LTDA;AGRO MULLER;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Sorriso;MT0002470;Ativo;**.***.739/***-**;AGROMAVE INSUMOS AGRICOLA LTDA;AGROMAVE INSUMOS AGRÍCOLA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
SP;Araraquara;SP0040487;Ativo;**.***.824/***-**;GEO CLEAN INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Araraquara;SP0040487;Ativo;**.***.824/***-**;GEO CLEAN INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EMBALADO
GO;Nova Crixás;GO0002313;Ativo;**.***.350/***-**;FERNANDO DE PAIVA GOMES - EPP;AGROTERRA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Campo Grande;MS0011002;Ativo;**.***.156/***-**;GERMINAR COMERCIO DE PRODUTOS AGROPECUARIOS LTDA - EPP;SEMENTES GERMINAR;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Cabo Verde;MG0006785;Ativo;**.***.566/***-**;COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA COOXUPE;Cooxupé;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
ES;Cariacica;ES0003905;Ativo;**.***.335/***-**;DICASE DISTRIBUIDORA CAPIXABA DE SEMENTES LTDA;DICASE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SE;Carira;SE0001023;Ativo;**.***.073/***-**;TEREZINHA DIAS DE CARVALHO CRUZ - ME;J.M. DISTRIBUIDORA DE SEMENTES E ADUBOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Juazeiro;BA0005487;Ativo;**.***.198/***-**;R. A. RODRIGUES RICARTE AGROCOMERCIO - ME;AGROMIX;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Artur Nogueira;SP0028746;Ativo;**.***.467/***-**;BASE - INDUSTRIA E COMERCIO DE INSUMOS AGRICOLAS LTDA;Base Substratos;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;SUBSTRATO PARA PLANTAS
SE;Itabaiana;SE0000892;Ativo;**.***.748/***-**;AGROCANA COMÉRCIO E REPRESENTAÇÕES LTDA;AGROCANA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Candeias;BA0008257;Ativo;**.***.019/***-**;FERTIMAR MINERAÇÃO E NAVEGAÇÃO S/A;primasea;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Limeira;SP0046213;Ativo;**.***.420/***-**;ADUBOS ARAUJO COMERCIO INDUSTRIA E IMPORTACAO LTDA - EPP;ARAUJO FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
DF;Brasília;DF0001210;Ativo;**.***.990/***-**;SOLO PRODUTIVO PRODUTOS AGROPECUARIOS LTDA - ME;Vegetal agronegocios;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Bocaiúva do Sul;PR0014176;Ativo;**.***.022/***-**;COMERCIO E INDUSTRIA DE CAL TANCAL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
PR;Toledo;PR0006300;Ativo;**.***.264/***-**;COMPOSTEC SOLUCOES AMBIENTAIS LTDA;COMPOSTEC SOLUÇÕES AMBIENTAIS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;INOCULANTE
RS;Santo Antônio das Missões;RS0021040;Cancelado;**.***.644/***-**;CAMERA AGROALIMENTOS S.A;Camera Agroalimentos;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Albertina;MG0009580;Ativo;**.***.939/***-**;JUMA-AGRO INDUSTRIA E COMERCIO LTDA;JUMA-AGRO INDUSTRIA E COMERCIO LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Barbalha;CE0008010;Ativo;**.***.614/***-**;AGROMIL COM REP AGRICOLAS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Piedade;SP0028991;Ativo;**.***.126/***-**;BATROFF INDUSTRIA E COMERCIO DE INSUMOS AGRICOLAS LTDA - ME;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RS;Veranópolis;RS0040819;Ativo;**.***.049/***-**;BIOSOLOS FABRICACAO E COMERCIO DE COMPOSTOS ORGANICOS LTDA ;ADUBARE ;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MS;Rio Brilhante;MS0010448;Ativo;**.***.191/***-**;HINOVE AGROCIENCIA FERTILIZANTES S.A.;HINOVE;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG;Reduto;MG0010782;Cancelado;**.***.217/***-**;DBV BROTHERS LTDA ;DBV Friends;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
GO;Jataí;GO0008800;Ativo;**.***.241/***-**;CAMPO BOM INSUMOS AGRICOLAS LTDA;CAMPO BOM INSUMOS AGRÍCOLAS LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC;Correia Pinto;SC0007536;Ativo;**.***.740/***-**;RETA NUTRICAO ANIMAL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Colombo;PR0013510;Cancelado;**.***.558/***-**;CALCARIOS PIRAMIDE LTDA - ME;Pirâmide;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
GO;Paraúna;GO0008540;Ativo;**.***.495/***-**;FRONTEIRA COMERCIO E REPRESENTACAO DE PRODUTOS AGROPECUARIOS LTDA;TEC AGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Ipuiúna;MG0015369;Ativo;**.***.447/***-**;ADUBOS REAL LTDA;ADUBOS REAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0022527;Ativo;**.***.422/***-**;SAGRO DO BRASIL LTDA - ME;SAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
BA;Camacan;BA0004332;Ativo;**.***.691/***-**;VASCONCELOS COMERCIO DE PRODUTOS AGRICOLAS LTDA - ME;RURAL FERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Viamão;RS0021946;Ativo;**.***.672/***-**;OXIGENIO DA AMAZONIA LTDA - ME;Oxam;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Itapeva;SP0024201;Ativo;**.***.223/***-**;BIAGRO PRODUTOS AGROPECUARIOS LTDA - ME;BIAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Venâncio Aires;RS0021504;Ativo;**.***.513/***-**;AGRO COMERCIAL AFUBRA LTDA;AFUBRA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Cachoeiro de Itapemirim;ES0007633;Ativo;**.***.778/***-**;PROVALE INDUSTRIA E COMERCIO S A;Provale Indústria e Comércio S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
MT;Rondonópolis;MT0004006;Ativo;**.***.138/***-**;FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA;FERTITEX AGROPECUARIA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
BA;Mutuípe;BA0004898;Ativo;**.***.651/***-**;MARCOS DE ANDRADE SANTOS SOUSA 04478167567;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RN;Mossoró;RN0003905;Ativo;**.***.467/***-**;NIBRAFERTIL FERTILIZANTES DO BRASIL LTDA;NIBRAFERTIL FERTILIZANTES DO BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
ES;Jaguaré;ES0003018;Ativo;**.***.454/***-**;TAVARES PRODUTOS AGROPECUARIOS LTDA - EPP;Casa do Produtor;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Piracicaba;SP0033260;Ativo;**.***.547/***-**;COOPERATIVA DOS PLANTADORES DE CANA DO ESTADO SAO PAULO;Coplacana;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Águas de Chapecó;SC0002305;Ativo;**.***.235/***-**;COOPERATIVA AGROINDUSTRIAL ALFA;Cooperalfa;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Lucas do Rio Verde;MT0010561;Ativo;**.***.901/***-**;NAVA & SIMON LTDA;PLANTAR COMERCIO E REPRESENTAÇÕES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0015741;Ativo;**.***.784/***-**;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;LEROY MERLIN;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Pedro;SP0029009;Ativo;**.***.328/***-**;GILBERTO GAMA GONCALVES - ME;Compostagem Cambará;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
BA;Lauro de Freitas;BA0010715;Ativo;**.***.901/***-**;GLOBAL CROPS INDUSTRIA E COMERCIO DE PRODUTOS AGRICOLAS LTDA;GLOBAL CROPS;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
RO;Vilhena;RO0001244;Ativo;**.***.706/***-**;fertipar fertilizantes do parana ltda;fertipar fertilizantes do parana ltda;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Uchoa;SP0037222;Ativo;**.***.810/***-**;SUCOCITRICO CUTRALE LTDA;Compostagem Uchoa;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
PE;Araripina;PE0004901;Ativo;**.***.526/***-**;MINERADORA SOMBRA DA SERRA LTDA;MINERADORA SOMBRA DA SERRA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
PR;Almirante Tamandaré;PR0006327;Ativo;**.***.350/***-**;AMERICA INDUSTRIA E COMERCIO DE CALCAREO LTDA - ME;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
BA;Iuiu;BA0008583;Ativo;**.***.552/***-**;CANDINHEIRO INDUSTRIA COMERCIO E EXPORTACAO LTDA;INDUSTRIA CANDINHEIRO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Pradópolis;SP0023795;Ativo;**.***.044/***-**;KIP CULLERS DO BRASIL LTDA.;KIP CULLERS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SE;Maruim;SE0002453;Ativo;**.***.256/***-**;ADUBOS RIFERTIL SERGIPE LTDA;ADUBOS RIFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
ES;Braço do Rio;ES0008249;Ativo;**.***.761/***-**;PROVADO-FERTILIZANTES ORGANICOS LTDA;PROVASO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Nova Venécia;ES0005541;Ativo;**.***.084/***-**;ARILDO QUARTEZANI - ME;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Unaí;MG0003360;Ativo;**.***.923/***-**;SUPERFERTIL COMERCIAL AGRICOLA LTDA.;SUPERFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Novo Horizonte;SP0046078;Ativo;**.***.485/***-**;CIMOAGRO-COMERCIO E REPRESENTACAO AGROPECUARIA LTDA.;CIMOAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Ipiaú;BA0004359;Ativo;**.***.209/***-**;COOP DOS CACAUICULTORES IPIAU LIMITADA COPERCACAU COCIP;COPER CACAU COCIP;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Vila Nova;PR0011398;Ativo;**.***.830/***-**;FERTI SOLO INSUMOS AGRICOLAS LTDA ;FERTISOLO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Mogi Mirim;SP0038717;Ativo;**.***.856/***-**;visafertil industria e comercio de fertilizantes organicos;Visafértil;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Mogi Mirim;SP0038717;Ativo;**.***.856/***-**;visafertil industria e comercio de fertilizantes organicos;Visafértil;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;BIOFERTILIZANTE
SP;Cubatão;SP0016608;Ativo;**.***.074/***-**;ORION BRASIL INDUSTRIA, COMERCIO E EXPORTACAO DE PRODUTOS DE ORIGEM MINERAL LTDA - EPP;ORION COMERCIO E REPRESENTAÇÃO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
SP;Serra Negra;SP0025879;Ativo;**.***.234/***-**;SINERGIA AGRO DO BRASIL LTDA - EPP;SINERGIA AGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MG;Belo Horizonte;MG0009261;Ativo;**.***.915/***-**;CARREFOUR COMERCIO E INDUSTRIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Barreiras;BA0013650;Ativo;**.***.450/***-**;GRAN. FERTIL LTDA - ME;GRANFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Cuiabá;MT0001830;Ativo;**.***.367/***-**;FMC QUIMICA DO BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Almirante Tamandaré;PR0007030;Ativo;**.***.269/***-**;CALCARIO MORRO VERDE LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
MG;Uberaba;MG0006440;Ativo;**.***.241/***-**;POLIFERTIL NUTRICAO IMPORTACAO E EXPORTACAO LTDA - EPP;POLIFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
MG;Uberaba;MG0006440;Ativo;**.***.241/***-**;POLIFERTIL NUTRICAO IMPORTACAO E EXPORTACAO LTDA - EPP;POLIFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MS;Sidrolândia;MS0008770;Ativo;**.***.868/***-**;AGRICOLA PANORAMA COMERCIO E REPRESENTACOES LTDA;AGRICOLA PANORAMA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Bela Vista;MS0011380;Ativo;**.***.012/***-**;CALCARIO BONITO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
RR;Boa Vista;RR0000469;Ativo;**.***.139/***-**;agropecuaria garrote ltda;AGROPECUARIA GARROTE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Marco;CE0004545;Ativo;**.***.947/***-**;AGROTRIANGULO COMERCIAL LTDA - ME;AGROTRIANGULO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Mafra;SC0012360;Ativo;**.***.928/***-**;FUTURAGRO DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA;FUTURAGRO DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Júlio de Castilhos;RS0015733;Ativo;**.***.223/***-**;C.VALE - COOPERATIVA AGROINDUSTRIAL;C.VALE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Aparecida de Goiânia;GO0002518;Ativo;**.***.510/***-**;ADAMA BRASIL S/A;ADAMA BRASIL S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Tapira;MG0001279;Ativo;**.***.791/***-**;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS;COOPERCITRUS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Araxá;MG0001147;Cancelado;**.***.791/***-**;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS;COOPERCITRUS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
