UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
SP;Araçatuba;SP0055174;Ativo;**.***.508/***-**;RAIZEN ENERGIA S/A;RAIZEN DESTIVALE;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SC;Joinville;SC0019577;Ativo;**.***.090/***-**;incasa s/a;Incasa;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
GO;Guarani de Goiás;GO0009873;Ativo;**.***.125/***-**;PIRECAL PIRENOPOLIS CALCARIO LTDA;TRANSPORTADORA PIRECAL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
RS;Seberi;RS0021962;Ativo;**.***.770/***-**;COMÉRCIO DE PRODUTOS AGRÍCOLAS BFG LTDA;AGRICENTER;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Santo Inácio;SP0073369;Ativo;**.***.562/***-**;USINA ALTO ALEGRE S/A AÇÚCAR E ÁLCOOL;Usina Alto Alegre;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SC;Abelardo Luz;SC0007218;Ativo;**.***.750/***-**;COOPERFÉRTIL - COOPERATIVA AGRÍCOLA LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
GO;Goiânia;GO0008575;Ativo;**.***.089/***-**;NUTRI FERTILIZANTES IND. COM. AGROP. LTDA;NUTRIMAX;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
PR;Almirante Tamandaré;PR0013919;Ativo;**.***.629/***-**;INDÚSTRIA E COMÉRCIO DE CAL E CALCÁRIO SOLO BRANCO LTDA;Solo Branco;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
PR;Ponta Grossa;PR0006815;Ativo;**.***.385/***-**;AGROCETE IND. DE FERTILIZANTES LTDA;AGROCETE IND. DE FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Ponta Grossa;PR0006815;Ativo;**.***.385/***-**;AGROCETE IND. DE FERTILIZANTES LTDA;AGROCETE IND. DE FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
PR;Ponta Grossa;PR0006815;Ativo;**.***.385/***-**;AGROCETE IND. DE FERTILIZANTES LTDA;AGROCETE IND. DE FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;BIOFERTILIZANTE
SP;São Paulo;SP0021334;Ativo;**.***.606/***-**;ROTAM DO BRASIL AGROQUIMICA  PRODUTOS AGRICOLAS  LTDA;ROTAM DO BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EM GRANEL
PR;São Mateus do Sul;PR0021512;Ativo;**.***.638/***-**;STAUDT & BARATIERI LTDA;JEL FERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
GO;Formosa;GO0017337;Ativo;**.***.373/***-**;ENGEBRITA CALCARIO LTDA;ENGEBRITA CALCÁRIO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
RS;Eldorado do Sul;RS0037095;Ativo;**.***.020/***-**;VIDA PRODUTOS E SERVIÇOS EM DESENVOLVIMENTO ECOLÓGICO LTDA - GUAÍBA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
SC;Videira;SC0002852;Ativo;**.***.660/***-**;COOPERATIVA AGROPECUARIA VIDEIRENSE;COOPERVIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Paraipaba;CE0001520;Ativo;**.***.400/***-**;ALINE GOMES PORTELA - ME;RAÇÃO E CIA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
ES;Viana;ES0007358;Ativo;**.***.175/***-**;FERTILIZANTES HERINGER S.A.;FERTILIZANTES HERINGER S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Cotia;SP0006114;Ativo;**.***.479/***-**;RUDNIK COMERCIO DE PRODUTOS QUIMICOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0066320;Ativo;**.***.616/***-**;CZARNIKOW BRASIL LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP;Piracicaba;SP0040231;Ativo;**.***.031/***-**;CJ do Brasil Indústria e Comércio de Produtos Alimenticios Ltda.;CJ DO BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Ourinhos;SP0033839;Ativo;**.***.175/***-**;fertilizantes heringer s.a;FERTILIZANTES HERINGER S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
