UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
RS,Fazenda Vilanova,RS0060038,**.***.704/***-**,ACQUA SERVIÇOS DE TRATAMENTO DE EFLUENTES LTDA,Acqua Tratamento de Efluentes,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
RS,Cruzeiro do Sul,RS0058491,**.***.262/***-**,A C SCHMIDT,RAIZ FORTE SUBSTRATOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
PR,Ibiporã,PR0033634,**.***.530/***-**,DOMINISOLO INDUSTRIA QUIMICA LTDA,DOMINISOLO NUTRICAO VEGETAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MT,Pontes e Lacerda,MT0013692,**.***.023/***-**,FIAGRIL LTDA,FIAGRIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Franca,SP0070700,**.***.434/***-**,GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Franca,SP0070700,**.***.434/***-**,GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Barueri,SP0070289,**.***.954/***-**,COLE LOG IMPORTACAO E EXPORTACAO ARMAZENAGEM TRANSPORTES E LOGISTICA LTDA,COLE LOG IMPORTAÇÃO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Cáceres,MT0013374,**.***.928/***-**,LINEAGRO PRODUTOS AGROPECUARIOS SA,AGROLINE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Sete Lagoas,MG0031810,**.***.796/***-**,GENESIS FERTILIZANTES LTDA,Fertilizando,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Ibiporã,PR0031658,**.***.999/***-**,NUTRIPLANT INDUSTRIA E COMERCIO S/A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Alto Santo,CE0015768,**.***.645/***-**,MAIOLI EMPREENDIMENTOS LTDA,MAIOLI,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,São Joaquim,SC0033472,**.***.562/***-**,BRASIL FERTILIZANTES,BRASIL FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,São Paulo,SP0070270,**.***.754/***-**,BR COMERCIAL DE MAQUINAS E EQUIPAMENTOS LTDA,BR COMERCIAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Carandaí,MG0030988,**.***.894/***-**,OXY INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,OXY FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Jataí,GO0016764,**.***.051/***-**,ALTENUTRE COMERCIO E REPRESENTACAO DE PRODUTOS AGRICOLAS LTDA,Altenutre Tecnologia Agrícola,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Tapurah,MT0013625,**.***.739/***-**,AGROMAVE INSUMOS AGRICOLA LTDA,AGROMAVE EXPRESS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MA,Balsas,MA0007498,**.***.174/***-**,orígeo comércio de produtos agropecuários s.a,orígeo comércio,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Jaguari,RS0058351,**.***.306/***-**,FOLITECH AGROSCIENCES LTDA,FOLITECH AGROSCIENCES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RO,Ariquemes,RO0005614,**.***.944/***-**,BRA DEFENSIVOS AGRICOLAS LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Ponte Nova,MG0031372,**.***.755/***-**,AGF MONTAGEM E MANUTENÇÃO MEC LTDA,GARAVINI MECANICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
DF,Brasília,DF0005070,**.***.938/***-**,COBASI COMERCIO DE PRODUTOS BASICOS E INDUSTRIALIZADOS S.A. PISTÃO SUL,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Ubajara,CE0014907,**.***.177/***-**,CASA DO PLANTADOR LTDA - EPP,Casa do Plantador,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Avaré,SP0074691,**.***.804/***-**,FERTILIZANTES NPK LTDA,FERTILIZANTES NPK,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Nonoai,RS0057703,**.***.213/***-**,LIFE AGRO DO BRASIL COMÉRCIO DE INSUMOS AGRÍCOLAS SA,LIFE AGRO DO BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Catanduva,SP0071277,**.***.268/***-**,ATTIVITA AGROQUIMICA INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
