UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
MG,Uberaba,MG0011479,**.***.743/***-**,INSTAAGRO SOLUÇÕES EM AGRONEGÓCIOS LTDA,INSTAAGRO SOLUÇÕES EM AGRONEGÓCIOS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Cristalina,GO0007625,**.***.897/***-**,SINAGRO PRODUTOS AGROPECUÁRIOS SA,SINAGRO PRODUTOS AGROPECUARIOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Maringá,PR0012602,**.***.008/***-**,SINTESE AGRO SCIENCE LTDA,SINTESE AGRO SCIENCE,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Missal,PR0014818,**.***.110/***-**,MATEUS M. TURCATTO DA CRUZ EIRELI - ME,Terraplenagem e Compostagem Cruz,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MT,Lucas do Rio Verde,MT0005975,**.***.689/***-**,Bioplanta Nutrição Vegetal SA,Bioplanta Nutrição Vegetal SA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Lucas do Rio Verde,MT0005975,**.***.689/***-**,Bioplanta Nutrição Vegetal SA,Bioplanta Nutrição Vegetal SA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
RO,Tarilândia,RO0002658,**.***.746/***-**,OSVALDO RODRIGUES DE LIMA,CASA DO COLONOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Ariquemes,RO0003026,**.***.718/***-**,C.A. RURAL DISTRIBUIDORA DE DEFENSIVOS LTDA,CENTRAL AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Rio Verde,GO0013617,**.***.636/***-**,AGROFULL COMERCIO IMPORTACAO E EXPORTACAO LTDA,AGROFULL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Pains,MG0027286,**.***.860/***-**,AGROATIVE CROP. TECNOLOGIA EM FERTILIZANTES LTDA,AGROATIVE FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Descalvado,SP0055794,**.***.366/***-**,"SEVERINO,SEVERINO&CIALTDA",,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
MT,Matupá,MT0002879,**.***.018/***-**,IMPACTO INSUMOS AGRICOLAS LTDA,IMPACTO INSUMOS AGRICOLAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,São Miguel do Araguaia,GO0009679,**.***.928/***-**,LINEAGRO PRODUTOS AGROPECUARIOS LTDA,AGROLINE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Cotia,SP0025798,**.***.747/***-**,"S CHEM DAS AMERICAS COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA",,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,São Paulo,SP0025798,**.***.747/***-**,"S CHEM DAS AMERICAS COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA",,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Saltinho,SP0036404,**.***.334/***-**,M&G MINERAÇÃO DE CALCÁRIO LTDA,AMARAL MACHADO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SC,São Francisco do Sul,SC0023655,**.***.212/***-**,GROW FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
SC,São Francisco do Sul,SC0023655,**.***.212/***-**,GROW FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
MG,Sete Lagoas,MG0020710,**.***.170/***-**,PHERTZ INDÚSTRIA E COMERCIO LTDA,PHERTZ,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Uberlândia,MG0017949,**.***.524/***-**,ADFERT ADITIVOS INDUSTRIA E COMERCIO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,São Gotardo,MG0019500,**.***.113/***-**,CASA DO ADUBO S.A,CASA DO ADUBO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Goiânia,GO0009741,**.***.539/***-**,ATIVA COMERCIO E REPRESENTAÇÕES DE PRODUTOS AGROPECUÁRIOS LTDA,ATIVA AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Assis,SP0046019,**.***.738/***-**,DENORPI DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA,DENORPI DISTRIBUIDORA DE INSUMOS AGRICOLAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Dias D'Ávila,BA0010669,**.***.815/***-**,KRILLTECH NANOTECNOLOGIA AGRO SA,KRILLTECH SOLUCOES SUSTENTAVEIS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,BIOFERTILIZANTE
SP,Socorro,SP0044652,**.***.447/***-**,ADUBOS REAL S/A,ADUBOS REAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Cáceres,MT0002429,**.***.972/***-**,D. M. DA SILVEIRA EIRELI,TRADE MINUANO,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT,Paranatinga,MT0007897,**.***.962/***-**,CALCARIO ALIANCA DE PARANATINGA E MINERACAO LTDA,Calcário Aliança,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MG,Capinópolis,MG0018490,**.***.633/***-**,FACIROLLI COMERCIO E REPRESENTAÇÕES LTDA,AGROZAP,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Guaramirim,SC0020516,**.***.376/***-**,ALFE-TECH INSUMOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Pinhais,PR0024376,**.***.819/***-**,AGRO SERENA LTDA,AGRO SERENA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
BA,Luís Eduardo Magalhães,BA0010871,**.***.390/***-**,AGRONELLI-INDUSTRIA E COMERCIO DE INSUMOS AGROPECUARIOS LTDA,AGRONELLI-INDUSTRIA E COMERCIO DE INSUMOS AGROPECUARIOS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
MG,Uberaba,MG0018783,**.***.059/***-**,TRADECORP DO BRASIL COMÉRCIO DE INSUMOS AGRICOLAS LTDA,MICROQUIMICA TRADECORP,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Rondonópolis,MT0006890,**.***.123/***-**,ADILSON XAVIER - ARMAZENS GERAIS ME,ADX - ARMAZEM E LOGISTICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PA,Redenção,PA0006840,**.***.680/***-**,AGRO AMAZONIA PRODUTOS AGROPECUARIOS S.A.,AGROAMAZONIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Cajamar,SP0041971,**.***.940/***-**,AMAZON SERVIÇOS DE VAREJO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0030511,**.***.815/***-**,GREEN PLACE COMERCIO E DISTRIBUIÇÃO LTDA,Green Place,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Mogi Mirim,SP0076716,**.***.017/***-**,FÉRTILSOLO FERTILIZANTES ORGÂNICOS EIRELI,Fertilsolo,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
RS,Porto Alegre,RS0040002,**.***.505/***-**,PGG CHEMICAL CORPORATION LTDA,PGG CHEM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,São Francisco do Sul,SC0016470,**.***.993/***-**,CICS FERTILIZANTES LTDA,CICS FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
MG,Nova Ponte,MG0017795,**.***.633/***-**,FACIROLLI COMERCIO E REPRESENTAÇÕES LTDA,AGROZAP,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Aparecida de Goiânia,GO0009059,**.***.150/***-**,TEK FABRIL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PA,Altamira,PA0006882,**.***.908/***-**,BARRY CALLEBAUT BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS ALIEMTENTÍCIOS LTDA,BARRY CALLEBAUT,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Chapadão do Sul,MS0011622,**.***.579/***-**,AGRO-MERCANTIL ANDORINHA LTDA.,AGRICOLA ANDORINHA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Coronel Fabriciano,MG0014427,**.***.516/***-**,RESIDUAR USINA DE BENEFICIAMENTO DE RESIDUOS ORGANICOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,São Roque,SP0051497,**.***.101/***-**,RIACHUELO INSUMOS AGRICOLAS LTDA,AGROQUIM,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Jandaia do Sul,PR0029068,**.***.953/***-**,BMA AGRO COMÉRCIO DE FERTILIZANTES LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Casa Branca,SP0041947,**.***.445/***-**,VALERIA CRISTINA STRAZZA PAGANINI,AGRO M,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
DF,Brasília,DF0003670,**.***.595/***-**,KARI 4,KARI 4,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
PA,Castanhal,PA0006734,**.***.370/***-**,H R COMERCIO DE INSUMOS AGROPECUARIOS LTDA,TERRAFORTE AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Minduri,MG0016020,**.***.785/***-**,GRAO DE OURO AGRONEGOCIOS S.A,GRAO DE  OURO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Delta,MG0018503,**.***.841/***-**,BIO-KRAFT BIOFERTILIZANTES TECHNOLOGY LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Patrocínio,MG0021490,**.***.771/***-**,BIO VERDE FLORA LTDA,BIO VERDE FLORA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Araxá,MG0015466,**.***.216/***-**,NATIVA AGRONEGÓCIOS & REPRESENTAÇÕES LTDA,NATIVA AGRONEGOCIOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Maringá,PR0014893,**.***.703/***-**,"NITROGEN COMERCIO, IMPORTACAO E EXPORTACAO DE MERCADORIAS LTDA",NITROGEN PR,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
MG,Piumhi,MG0013838,**.***.225/***-**,MARCA AGRO MERCANTIL LTDA,MARCA AGRO MERCANTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Sorriso,MT0006351,**.***.374/***-**,MUTUA COMERCIO DE INSUMOS AGROPECUARIOS LTDA,Mútua Agronegócios,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PE,Petrolina,PE0004014,**.***.828/***-**,E & C COMPOSTOS ORGANICOS LTDA,COMPOSTO ORGÂNICO ECOVASF,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
GO,Goiânia,GO0008508,**.***.495/***-**,FRONTEIRA COMÉRCIO E REPRESENTAÇÃO DE PRODUTOS AGROPECUÁRIOS LTDA,Tec Agro,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Avaré,SP0038709,**.***.238/***-**,J. A. MOURA GONCALVES FERTILIZANTES LTDA,J.A. FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MA,Imperatriz,MA0005118,**.***.502/***-**,ODIVEL AGRONEGOCIOS LTDA,ODIVEL AGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,FERTILIZANTE MINERAL
RS,Santo Antônio das Missões,RS0040614,**.***.342/***-**,TARUMÃ COMÉRCIO E REPRESENTAÇÕES LTDA,TARUMÃ COMÉRCIO E REPRESENTAÇÕES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,São José dos Pinhais,PR0021261,**.***.607/***-**,NUTRISAFRA FERTILIZANTES LTDA,Nutrisafra Fertilizantes,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MS,Guia Lopes da Laguna,MS0011428,**.***.069/***-**,MS FERTIL COMERCIO DE FERTILIZANTES LTDA,MS FERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Acreúna,GO0010073,**.***.638/***-**,RAIZ FERTIL LTDA,RAIZ FERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
GO,Catalão,GO0009229,**.***.959/***-**,OCP FERTILIZANTES LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Franca,SP0038601,**.***.245/***-**,CARANDAÍ AGROINDUSTRIAL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
GO,Rio Verde,GO0016829,**.***.631/***-**,BIOPROCESSOS FERTILIZANTES LTDA - ME,BIOPROCESSOS FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
TO,Araguaína,TO0006122,**.***.113/***-**,CASA DO ADUBO S.A,CASA DO ADUBO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0010936,**.***.261/***-**,STOLLER DO BRASIL LTDA,STOLLER,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Aparecida de Goiânia,GO0009180,**.***.001/***-**,"PLASOXIDOS - COMERCIO DE PLASTICOS, EMBALAGENS E OXIDOS LTDA","PLASOXIDOS - COMERCIO DE PLASTICOS, EMBALAGENS E OXIDOS","FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Cuiabá,MT0005908,**.***.097/***-**,NPK SOLUCOES EM FERTILIZANTES LTDA,NPK SOLUCOES EM FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Varginha,MG0017191,**.***.113/***-**,CASA DO ADUBO S.A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Coronel Freitas,SC0016578,**.***.080/***-**,DANIELA CAVASOTTO CERIOLLI ME,LUMA HORTA & JARDIM,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Guarulhos,SP0038563,**.***.043/***-**,TYPMANN COMERCIAL IMPORTADORA E EXPORTADORA LTDA,TYPMANN,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Pirassununga,SP0037656,**.***.241/***-**,MVW LTDA,MVW LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
MG,Muzambinho,MG0018414,**.***.566/***-**,COOPERATIVA REGIONAL DOS CAFEICULTORES EM GUAXUPE LTDA COOXUPE,COOXUPE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Marechal Cândido Rondon,PR0026980,**.***.231/***-**,BIO HANUSCH BIOTECNOLOGIA LTDA,BIO HANUSCH BIOTECNOLOGIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PA,Vila dos Cabanos,PA0006467,**.***.959/***-**,OCP FERTILIZANTES LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
RS,São Marcos,RS0039390,**.***.501/***-**,NUTRI BRASIL FERTILIZANTES INDÚSTRIA E COMÉRCIO LTDA,Nutri Brasil,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SC,Imbituba,SC0022829,**.***.176/***-**,COXILHA INDUSTRIA DE FERTILIZANTES E CORRETIVOS LTDA,Adubos Coxilha,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SC,Imbituba,SC0025216,**.***.177/***-**,CASA DAS RAÇÕES LTDA,Casa das Rações,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Senador Canedo,GO0009300,**.***.522/***-**,IMPORT AGRO INDUSTRIA IMPORTACAO E EXPORTACAO DE PRODUTOS AGROPECUARIOS LTDA,AGRIPON E AGRIPON BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Indaiatuba,SP0054127,**.***.168/***-**,COPASIL QUÍMICA INDUSTRIAL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Frutal,MG0019275,**.***.259/***-**,FERTGOLD COMERCIO E REPRESENTACAO LTDA,FERTGOLD,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Santa Maria de Jetibá,ES0008435,**.***.483/***-**,ASSENCE TECNOLOGIA AGRICOLA LTDA,ASSENCE TECNOLOGIA AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Senador Canedo,GO0009261,**.***.512/***-**,TRANSPORTADORA CANEDO EIRELI,TRANSPORTADORA CANEDO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Paraíso do Norte,PR0023027,**.***.760/***-**,NUTRIPAR - FABRICACAO DE FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Jundiaí,SP0043060,**.***.043/***-**,SINQUEL PRODUTOS E SERVIÇOS AGROPECUÁRIOS LTDA,Agro SinQuel,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Paranaguá,PR0029416,**.***.841/***-**,TECNOGRAN AGRONUTRIENTES LTDA,Tecnogran Agronutrientes,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
MS,Sidrolândia,MS0013390,**.***.579/***-**,BOA VISTA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA,BOA VISTA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,São Miguel do Oeste,SC0022403,**.***.513/***-**,AGRO COMERCIAL AFUBRA LTDA,Agro comercial afubra ltda,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Porto Velho,RO0004073,**.***.138/***-**,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA,FERTITEX AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
RO,Porto Velho,RO0004073,**.***.138/***-**,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA,FERTITEX AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
MG,Governador Valadares,MG0026930,**.***.113/***-**,CASA DO ADUBO S.A.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Coimbra,MG0027022,**.***.113/***-**,CASA DO ADUBO S.A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Anápolis,GO0012564,**.***.095/***-**,MAHNIC E MAHNIC LTDA,MAHNIC DIVISAO AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0013897,**.***.929/***-**,CORTEVA AGRISCIENCE DO BRASIL LTDA.,CORTEVA AGRISCIENCE DO BRASIL LTDA.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Maracaju,MS0014060,**.***.418/***-**,JONILSON BARROS SILVA,FUTURA COMERCIO ATACADISTA DE PRODUTOS BIOLÓGICOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Lagoa da Prata,MG0029220,**.***.074/***-**,GARANTIA AGRONEGÓCIOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Catanduva,SP0062413,**.***.989/***-**,SAFRARRICA COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS AGRÍCOLAS LTDA,SAFRA RICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Sinop,MT0010987,**.***.173/***-**,VALE DO RIO VERDE ARMAZÉNS GERAIS LTDA,VALE DO VERDE REVENDA GUANA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Cláudia,MT0013560,**.***.739/***-**,AGROMAVE INSUMOS AGRÍCOLA LTDA,AGROMAVE EXPRESS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Colíder,MT0010162,**.***.570/***-**,PRATA DA CASA COMERCIAL AGROPECUARIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Nova Mutum,MT0008150,**.***.023/***-**,FIAGRIL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Nova Mutum,MT0012882,**.***.739/***-**,AGROMAVE INSUMOS AGRICOLAS LTDA,AGROMAVE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Pontes e Lacerda,MT0008052,**.***.630/***-**,AGROCAT DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA,agrocat,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Passos,MG0026913,**.***.113/***-**,CASA DO ADUBO S/A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Candido Mota,SP0050547,**.***.287/***-**,"BUSSADORI, GARCIA & CIA LTDA",AGRO 100,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Itapetininga,SP0050580,**.***.788/***-**,AGRO FERRARI PRODUTOS AGRICOLAS LTDA,AGROGALAXY,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Conchal,SP0054283,**.***.993/***-**,QUALYQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A.,ICL BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Rondonópolis,MT0010375,**.***.949/***-**,VALLOURA AGROPECUARIA LTDA,Valloura Soluções Agropecuárias,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
